"RESPNUM"	"CCGID"	"TERM"	"STRATA"	"ATYPE"	"AIRLINE"	"DEST"	"GATENUM"	"INTDATE"	"Q1"	"Q2_1"	"Q2_2"	"Q2_3"	"Q2_4"	"Q2_5"	"Q2_6"	"Q3_1"	"Q3_2"	"Q3_3"	"Q3_4"	"Q3_5"	"Q3_6"	"Q3A"	"Q4A"	"Q4B"	"Q4C"	"Q5"	"Q5AVG"	"SAQ"	"Q6A"	"Q6B"	"Q6C"	"Q6D"	"Q6E"	"Q6F"	"Q6G"	"Q6H"	"Q6I"	"Q6J"	"Q6K"	"Q6L"	"Q6M"	"Q6N"	"Q7COM1"	"Q7COM2"	"Q7COM3"	"Q7A1"	"Q7A2"	"Q7A3"	"Q8A"	"Q8B"	"Q8C"	"Q8D"	"Q8E"	"Q8F"	"Q8COM1"	"Q8COM2"	"Q8COM3"	"Q9"	"Q9APOS1"	"Q9APOS2"	"Q9APOS3"	"Q9ANEG1"	"Q9ANEG2"	"Q9ANEG3"	"Q9ANTR1"	"Q9ANTR2"	"Q9ANTR3"	"Q10"	"Q11"	"Q11A1"	"Q11A2"	"Q11A3"	"Q12"	"Q13A"	"Q13B"	"Q13_COM"	"Q13COM1"	"Q13COM2"	"Q13COM3"	"Q14"	"Q14A"	"Q14A1"	"Q14A2"	"Q14A3"	"Q15"	"SFFLAG"	"COUNTRY"	"Q17"	"AGE"	"Q18"	"Q19"	"INC"	"MAIL"	"LANG"	"DESTMARK"	"DESTINATION"	"DESTGEO"	"WEIGHT"	"Location.1"	"Q7_text_All"
"465"	"219"	1	2	1	29	2	28	2	2	3	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	1	2	4	9.5	2	3	4	4	3	3	4	4	4	NA	NA	NA	NA	4	4	NA	NA	NA	NA	NA	NA	4	6	4	3	3	2	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	5	NA	NA	5	3	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	5	49.5	2	1	"25,000"	1	1	4	"LAS VEGAS"	1	1.013018	NA	""
"466"	"220"	1	2	1	29	2	28	2	2	2	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	3	NA	NA	1	3	4.5	2	4	3	4	4	4	4	6	6	4	4	2	4	6	4	NA	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	9	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	15	62	5	49.5	1	2	"75,000"	1	1	4	"LAS VEGAS"	1	1.013018	NA	""
"467"	"221"	1	2	1	29	2	28	2	2	1	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	2	1	1	1	2	2	3	3	4	4	3	4	4	4	4	5	6	3	4	71	NA	NA	NA	NA	NA	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	3	29.5	1	1	"25,000"	1	1	4	"LAS VEGAS"	1	1.013018	NA	" Need more artwork/exhibitions/change artwork more frequently"
"468"	"222"	1	2	1	29	2	28	2	2	2	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	2	2	1	1	1	2	3	3	2	3	3	6	2	6	6	6	6	6	6	3	33	54	30	NA	NA	NA	4	6	6	6	3	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	6	4	NA	5	3	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	7	75	2	NA	""	1	1	4	"LAS VEGAS"	1	1.013018	NA	" Need better disabled access-ramps, carts  Information booth not staffed/personnel unhelpful/not knowledgeable  Facilities need upgrading/airport looks old/outdated"
"469"	"3,226"	1	1	1	29	2	27	5	2	5	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	NA	1	2	2	2	6	3	3	3	3	3	6	6	6	6	4	6	4	4	NA	NA	NA	NA	NA	NA	4	6	3	4	3	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	5	49.5	1	NA	""	2	1	3	"PHILADELPHIA"	2	1.013018	NA	""
"470"	"3,227"	1	1	1	29	2	27	5	2	1	8	NA	NA	NA	NA	8	11	NA	NA	NA	NA	9	2	2	1	1	1	2	6	4	6	3	6	3	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	4	6	6	6	6	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	6	59.5	1	4	"175,000"	2	1	3	"PHILADELPHIA"	2	1.013018	NA	""
"471"	"3,228"	1	1	1	29	2	27	5	2	1	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	2	2	1	1	1	2	6	3	6	3	3	3	6	6	6	6	6	6	6	3	3	NA	NA	NA	NA	NA	3	6	6	6	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	6	59.5	1	4	"175,000"	2	1	3	"PHILADELPHIA"	2	1.013018	NA	" Restaurants/food is good"
"472"	"3,229"	2	2	1	30	2	8	10	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	1	2	3	4.5	2	3	4	4	4	3	4	4	4	3	4	6	6	6	4	2	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	30	3	29.5	1	2	"75,000"	2	1	4	"LAS VEGAS"	1	0.636476	NA	" Shops/services too expensive"
"473"	"3,230"	2	1	1	30	2	3	6	1	3	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	2	2	2	2	2	2	5	6	6	3	4	4	6	6	6	6	6	6	6	3	NA	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	NA	11	4	6	NA	NA	NA	NA	2	NA	NA	NA	NA	3	3	62	7	75	2	3	"125,000"	2	1	2	"FORT LAUDERD"	2	0.636476	NA	""
"474"	"3,231"	1	2	1	11	2	33	10	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	2	1	2	2	2	3	2	3	2	3	3	2	2	6	6	6	6	6	3	90	NA	NA	NA	NA	NA	3	6	6	6	3	4	11	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	2	NA	NA	NA	NA	NA	1	NA	5	NA	NA	3	4	62	6	59.5	2	NA	""	2	1	3	"NEWARK"	2	1.013018	NA	" Security/Customs lines/procedures long/inefficient/ineffective"
"475"	"3,232"	3	1	1	28	2	80	7	2	1	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	2	2	1	3	4.5	2	4	3	3	3	4	3	6	6	6	6	6	6	2	3	NA	NA	NA	NA	NA	NA	3	6	6	3	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	3	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	5	49.5	2	4	"175,000"	2	1	4	"NEW YORK-JFK"	2	1.592296	NA	""
"515"	"2,668"	3	3	1	28	2	75	7	2	1	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	4	2	2	2	4	9.5	1	4	3	3	5	5	2	6	6	4	2	2	3	6	4	55	35	91	NA	NA	NA	2	3	4	6	4	2	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	3	12	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	3	29.5	2	2	"75,000"	1	1	4	"DENVER"	1	1.592296	NA	" Information screens-Too small/not enough/lack information/displays change too rapidly  Parking too far away/not enough/hard to find /expensive  Security/Customs personnel inefficient/rude/not well trained"
"516"	"2,669"	3	3	1	28	2	75	7	1	3	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	1	1	1	1	1	5	5	6	5	5	5	6	5	6	6	6	6	6	5	NA	NA	NA	NA	NA	NA	4	6	6	6	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	62	3	29.5	2	2	"75,000"	1	1	4	"DENVER"	1	1.592296	NA	""
"517"	"2,670"	3	3	1	28	2	75	7	2	1	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	3	2	1	2	6	36	1	4	4	4	2	2	3	6	4	4	4	3	6	6	4	51	NA	NA	NA	NA	NA	2	4	4	6	4	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	12	5	NA	6	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	4	39.5	2	4	"175,000"	1	1	4	"DENVER"	1	1.592296	NA	" Signage inside airport confusing/small/hard to find gate or airline"
"518"	"2,671"	3	3	1	28	2	75	7	2	1	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	2	1	2	1	1	1	3	3	3	5	4	5	6	4	4	6	6	6	6	4	9	NA	NA	NA	NA	NA	3	6	6	6	6	6	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	4	39.5	1	2	"75,000"	1	1	4	"DENVER"	1	1.592296	NA	" Need Starbucks/Peets/coffee house type restaurants (both before and after security) "
"519"	"2,501"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	1	1	1	4	6	3	4	4	4	6	6	2	2	6	5	6	5	70	NA	NA	NA	NA	NA	4	4	6	6	3	4	NA	NA	NA	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	10	62	3	29.5	1	4	"175,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	" Need more electrical outlets"
"520"	"2,502"	2	2	2	17	3	7	8	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	1	1	1	1	3	2	2	5	5	5	6	6	4	6	6	6	6	4	74	NA	NA	NA	NA	NA	4	6	6	6	3	3	NA	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	4	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	35	5	49.5	NA	NA	""	1	1	4	"AMSTERDAM"	6	0.636476	NA	" Luggage carts-not enough/inconveniently located/should be free"
"521"	"2,503"	2	2	2	17	3	7	8	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	1	1	1	6	4	6	5	5	5	5	5	4	4	6	6	6	4	40	NA	NA	NA	NA	NA	4	4	6	6	4	4	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	13	62	6	59.5	1	1	"25,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	" General positive comments about SFO"
"522"	"2,504"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	1	1	1	1	1	6	1	2	4	4	4	6	4	4	6	5	6	5	4	6	31	75	NA	NA	NA	4	6	4	4	4	1	3	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	2	NA	1	NA	NA	2	NA	NA	NA	NA	2	4	35	5	49.5	1	3	"125,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	" Need better, more, or more unique restaurants  Airport is crowded/More seating needed  Need more entertainment- TV’s/Computers"
"523"	"2,505"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	2	2	1	1	2	3	3	4	4	4	3	6	6	4	6	5	6	4	4	75	7	NA	NA	NA	NA	5	6	5	5	6	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	6	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	35	4	39.5	1	NA	""	1	1	4	"AMSTERDAM"	6	0.636476	NA	" Need more entertainment- TV’s/Computers  Need better, more, or more unique shops"
"524"	"2,506"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	1	1	1	1	2	6	3	3	3	3	3	3	3	2	4	4	6	4	4	NA	NA	NA	NA	NA	NA	4	6	4	3	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	60	4	39.5	2	3	"125,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"525"	"2,507"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	1	1	1	1	2	5	3	2	4	4	4	3	3	5	6	5	6	5	4	NA	NA	NA	NA	NA	NA	5	6	5	5	4	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	53	3	29.5	1	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"526"	"2,508"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	1	1	1	1	2	4	3	4	4	4	4	6	6	6	6	5	6	5	4	NA	NA	NA	NA	NA	NA	5	5	5	4	4	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	55	3	29.5	1	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"527"	"2,509"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	5	11	NA	NA	NA	NA	9	1	2	1	2	2	2	4	4	5	4	4	3	3	4	5	4	4	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	6	5	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	4	7	NA	7	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	13	62	6	59.5	1	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"528"	"2,510"	2	2	2	17	3	7	8	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	NA	NA	5	18.5	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	21	6	59.5	1	NA	""	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"529"	"2,511"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	1	1	1	1	1	2	3	4	4	4	4	5	5	5	6	6	6	6	6	5	NA	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	35	3	29.5	2	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"530"	"2,512"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	12	11	NA	NA	NA	NA	9	1	2	2	2	2	2	3	4	4	3	3	3	6	6	4	6	6	6	6	3	NA	NA	NA	NA	NA	NA	5	6	6	6	6	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	3	62	7	75	2	NA	""	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"531"	"2,513"	2	2	2	17	3	7	8	2	1	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	NA	NA	6	36	2	5	5	5	5	4	5	5	5	5	5	5	5	5	5	40	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	5	1	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	5	5	NA	2	NA	NA	2	NA	NA	NA	NA	1	13	62	5	49.5	1	4	"175,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	" General positive comments about SFO"
"532"	"2,514"	2	2	2	17	3	7	8	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	2	1	2	2	2	3	4	3	3	4	4	4	4	3	3	3	6	6	3	95	NA	NA	NA	NA	NA	3	3	6	6	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	3	3	NA	NA	NA	NA	1	NA	1	NA	NA	3	4	60	5	49.5	2	NA	""	1	1	4	"AMSTERDAM"	6	0.636476	NA	" Airlines neg comment"
"533"	"2,515"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	2	1	1	1	2	4	3	6	NA	4	3	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	4	6	6	6	4	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	35	3	29.5	1	1	"25,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"534"	"2,516"	2	2	2	17	3	7	8	2	1	8	NA	NA	NA	NA	5	11	NA	NA	NA	NA	9	1	2	2	1	1	2	3	4	3	4	4	4	4	4	6	6	4	6	6	4	NA	NA	NA	NA	NA	NA	4	6	4	6	6	6	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	35	4	39.5	2	4	"175,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"535"	"2,517"	2	2	2	17	3	7	8	2	1	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	4	1	2	2	2	2	2	4	6	5	4	5	5	6	6	5	4	5	6	6	4	NA	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	4	6	NA	6	5	5	NA	2	NA	NA	2	NA	NA	NA	NA	1	12	62	4	39.5	1	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"536"	"2,518"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	1	2	1	1	1	2	6	4	4	4	4	6	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	6	5	6	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	60	2	21	2	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"537"	"2,519"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	2	1	1	1	2	4	4	3	4	4	3	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	6	4	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	60	3	29.5	1	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"538"	"2,520"	2	2	2	17	3	7	8	2	2	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	2	1	1	1	2	3	3	3	3	3	3	3	3	6	6	6	6	6	3	NA	NA	NA	NA	NA	NA	5	6	6	6	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	60	3	29.5	2	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	""
"539"	"2,521"	2	2	2	17	3	7	8	2	1	4	8	NA	NA	NA	1	11	NA	NA	NA	NA	3	1	1	1	3	4.5	2	6	4	3	3	4	4	4	4	3	5	6	5	6	4	8	NA	NA	NA	NA	NA	5	5	6	6	4	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	1	NA	3	NA	NA	1	1	62	3	29.5	1	2	"75,000"	1	1	4	"AMSTERDAM"	6	0.636476	NA	" Need restaurants/stores/clubs after security"
"540"	"2,522"	2	3	2	16	1	11	8	2	4	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	1	1	1	1	5	4	5	5	5	5	6	5	5	5	6	6	6	5	1	NA	NA	NA	NA	NA	5	6	6	6	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	2	NA	NA	NA	NA	7	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	6	59.5	1	NA	""	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Food too expensive"
"541"	"2,523"	2	3	2	16	1	11	8	2	2	8	NA	NA	NA	NA	5	11	NA	NA	NA	NA	9	2	2	2	3	4.5	1	3	4	3	4	5	4	3	3	6	6	6	6	6	4	10	NA	NA	NA	NA	NA	4	6	6	6	4	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	3	NA	1	NA	NA	2	NA	NA	NA	NA	2	3	62	3	29.5	1	2	"75,000"	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Need fast food/chain restaurants"
"542"	"2,524"	2	3	2	16	1	11	8	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	2	3	4.5	1	5	6	6	4	5	5	6	6	4	6	6	6	6	4	1	51	NA	NA	NA	NA	5	6	6	6	5	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	6	59.5	1	2	"75,000"	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Food too expensive  Signage inside airport confusing/small/hard to find gate or airline"
"543"	"2,525"	2	3	2	16	1	11	8	2	11	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	4	1	2	1	5	18.5	1	3	4	6	5	5	4	6	6	5	3	5	6	4	5	50	35	NA	NA	NA	NA	4	6	4	5	5	4	NA	NA	NA	4	8	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	17	5	5	NA	11	NA	NA	1	NA	11	NA	NA	NA	3	62	4	39.5	2	NA	""	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Signage outside airport confusing/hard to get to airport/difficult to find correct terminal  Parking too far away/not enough/hard to find /expensive"
"544"	"2,526"	2	3	2	16	1	11	8	2	1	8	NA	NA	NA	NA	5	11	NA	NA	NA	NA	9	1	2	2	2	2	1	4	6	6	3	4	4	6	5	6	6	2	6	6	4	74	56	76	NA	NA	NA	5	6	5	6	6	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	3	NA	1	NA	NA	2	NA	NA	NA	NA	2	3	62	2	21	1	1	"25,000"	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Luggage carts-not enough/inconveniently located/should be free  Signage to/from/on AirTrain/BART should be improved  Need water fountains"
"545"	"2,527"	2	3	2	16	1	11	8	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	1	1	5	18.5	1	4	3	3	4	4	3	4	4	4	4	6	6	6	4	76	20	NA	NA	NA	NA	5	3	6	6	4	4	NA	NA	NA	5	1	6	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	62	5	49.5	2	2	"75,000"	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Need water fountains  Airport Layout-Terminals too far away/confusing/too difficult/takes too long to get around airport/no way to get between terminals after getting through security/domestic airlines in international terminal"
"546"	"2,528"	2	3	2	16	1	11	8	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	2	2	2	2	5	4	4	4	5	5	5	5	3	4	3	3	3	4	20	50	NA	NA	NA	NA	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	1	NA	1	NA	NA	1	NA	4	NA	NA	1	12	62	3	29.5	1	4	"175,000"	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Airport Layout-Terminals too far away/confusing/too difficult/takes too long to get around airport/no way to get between terminals after getting through security/domestic airlines in international terminal  Signage outside airport confusing/hard to get to airport/difficult to find correct terminal"
"547"	"2,529"	2	3	2	16	1	11	8	2	3	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	1	2	1	1	2	4	6	3	4	4	4	4	4	4	4	6	6	4	4	1	2	NA	NA	NA	NA	4	6	6	4	6	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	4	39.5	1	NA	""	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Food too expensive  Shops/services too expensive"
"548"	"2,530"	2	3	2	16	1	11	8	2	3	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	1	1	1	1	2	3	4	5	5	5	5	5	5	4	6	5	6	5	5	NA	NA	NA	NA	NA	NA	5	6	5	5	5	5	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	4	39.5	2	2	"75,000"	1	1	1	"LONG BEACH,"	1	0.636476	NA	""
"549"	"2,531"	2	3	2	16	1	11	8	2	2	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	2	2	1	1	2	3	2	2	1	3	3	2	2	6	6	6	6	6	3	6	90	NA	NA	NA	NA	4	6	6	6	6	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	NA	5	2	1	NA	NA	NA	NA	1	NA	4	NA	NA	2	3	62	5	49.5	2	2	"75,000"	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Need better, more, or more unique restaurants  Security/Customs lines/procedures long/inefficient/ineffective"
"550"	"2,532"	2	3	2	16	1	11	8	2	3	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	1	1	1	3	4.5	2	4	4	4	5	5	5	5	4	4	4	6	6	6	4	20	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	6	59.5	1	4	"175,000"	1	1	1	"LONG BEACH,"	1	0.636476	NA	" Airport Layout-Terminals too far away/confusing/too difficult/takes too long to get around airport/no way to get between terminals after getting through security/domestic airlines in international terminal"
